cp_num,tri_num,netting_set_A,netting_set_B
1098,AA11010,                 ,                 
1098,AA11020,                 ,                 
9765,AA11030,isd_110A_1,                 
9765,AA11040,isd_110A_1,                 
9765,AA11050,isd_110A_1,                 
7897,AA11060,                 ,                 
1232,AA11070,                 ,                 
7865,AA11080,isd_110B_1,isd_110B_1
7865,AA11090,isd_110B_1,isd_110B_1
3340,AA11100,                 ,                 
3340,AA11111,                 ,                 
3340,AA11112,                 ,                 
3340,AA11113,                 ,                 
